Project.Cycle,funding_component,threshold
3,statewide,88
4,statewide,89
5,statewide,92
3,small_urban_rural,83
4,small_urban_rural,85
5,small_urban_rural,90
5,KCOG,80
5,StanCOG,81
5,TMPO,81
4,StanCOG,79
4,KCOG,87
